Soil ID,Location,Type,Prot (% DM),Fe mg kg-1 DM,Zn mg kg-1 DM,Area (ha),Food yield ha-1,Wheat yield-1,N application farm-1,N ha-1,SIR (g C h-1 g soil -1),POM C (mg g soil-1),Min C (mg g soil-1),POM N (mg g soil-1),Min N (mg g soil-1),% Sand,% Silt,% Clay,pH,Cu (mg/Kg),Fe (mg / Kg),Mn (mg/Kg),Zn (mg/Kg),North,East,Elev,Dmun,DCG,DFpatch5000,DFpatch2500,DGpatch2500,DGpatch5000,Drd,Trd
01-GJ-W,Middle,Wheat,11.38,30.33,29.65,1.3,46,3380.782918,36.9,27.68,28.42,4.08,23.55,0.25,1.88,38.4,33.4,28.2,5.5,1.49,137.63,282.01,6.32,07Á18'37.1'',038Á46'00.1'',2108,2689.78,826.71,15.08,15.08,3,3,5,0.33
02-GJ-H,Middle,Home,,,,,,,,,45.53,9.07,24.91,0.66,2.12,40.4,41.2,18.4,6.8,1.67,82.97,126.46,8.76,07Á18'37.1'',038Á46'00.1'',2108,2689.78,826.71,15.08,15.08,3,3,5,0.33
03-BW-W,Near Forest,Wheat,7.69,44.22,31.73,0.5,14,,5.2,9.45,32.67,4.35,23.82,0.26,2.16,37.4,42.4,20.2,5.7,2.11,201.63,337.95,18.79,07Á18'134'',038Á48'155'',2073,6748.56,3108.69,125.26,125.26,36.21,79.71,1,1
04-MG-W,Middle,Wheat,10.27,39.93,26.19,3,14,1836.103595,45.6,15.15,31.93,4.13,16.36,0.15,1.23,41.8,32.2,26,5.2,1.56,124.81,411.89,6.26,07Á18'37.1'',038Á46'00.1'',2103,2713.16,947.11,3.56,3.56,3.37,3.37,1,0.3
05-MM-H,Road,Home,,,,,,,,,40.5,14.44,29.12,1.06,2.49,37.8,46,16.2,6.7,1.53,113.81,128.97,19.22,07Á19'55.1'',038Á43'24.0'',2067,7111.55,3448.76,534.82,418.42,211.65,211.65,0.04,0.05
06-SS-W,Road,Wheat,8.32,22.72,23.72,1.7,31,2052.785924,25.6,15.46,26.63,2.36,14.25,0.09,1.09,49,34.6,16.4,5.9,1.41,90.2,268.44,4.92,07Á19'44.3'',038Á43'40.1'',2075,6770.39,3123.51,168.07,168.07,20.34,233.11,0.05,0.33
07-DH-W,Middle,Wheat,8.27,24.77,29.42,1.1,25,1542.257866,6.7,6.33,28.18,3.63,25.83,0.14,1.38,41.8,34.8,23.4,5.6,2.43,134.26,386.73,10.18,07Á18'07.0'',038Á45'35.0'',2074,6348.11,2907.44,116.73,116.73,61.88,118.78,0.01,0.01
08-TK-H,Middle,Home,,,,,,,,,51.09,7.47,20.24,1.28,0.66,41.6,35.6,22.8,6.5,1.7,80.02,219.08,10.12,07?18'20.0'',038?45'49.8'',2104,2363.22,756.92,0.6,0.6,32.12,273.64,0.25,0.05
09-MM-W,Road,Wheat,9.95,26.05,26.41,2.4,34,2091.062395,49.5,20.67,41.01,3.45,15.45,0.81,0.34,38.8,50.4,10.8,6.2,1.29,143.06,138.55,4.81,07Á19'55.1'',038Á43'24.0'',2067,7111.55,3448.76,534.82,418.42,211.65,211.65,0.04,0.05
10-HK-H,Near Forest,Home,,,,,,,,,39.79,14.01,29.03,1.15,2.83,51,39.6,9.4,7,2.93,121.38,141.87,24.36,07Á18.033',038Á47.951',2200,0.54,3484.36,0.54,0.54,41.99,41.99,1,0.2
